Ho chua,Ngay,LuongVao(m3/s),Luongvao(m3),QuaNhaMay(m3/s),Luuluong(m3),DienNang(kW)
Son La,06/07/2023,2058,7408800,669,2408400,56865
Son La,05/07/2023,2085,7506000,0,0,0
Son La,04/07/2023,1944,6998400,0,0,0
Son La,03/07/2023,1111,3999600,0,0,0
Son La,02/07/2023,1111,3999600,0,0,0
Son La,01/07/2023,1853,6670800,0,0,0
Son La,30/06/2023,1248,4492800,137,493200,11645
Son La,29/06/2023,842,3031200,0,0,0
Son La,28/06/2023,835,3006000,0,0,0
Son La,27/06/2023,545,1962000,0,0,0
Son La,26/06/2023,556,2001600,0,0,0
Son La,25/06/2023,989,3560400,0,0,0
Son La,24/06/2023,2222,7999200,0,0,0
Son La,23/06/2023,556,2001600,0,0,0
Son La,22/06/2023,1050,3780000,0,0,0
Son La,21/06/2023,1050,3780000,0,0,0
Son La,20/06/2023,402,1447200,0,0,0
Son La,19/06/2023,655,2358000,0,0,0
Son La,18/06/2023,256,921600,0,0,0
Son La,17/06/2023,596,2145600,0,0,0
Son La,16/06/2023,305,1098000,0,0,0
Son La,15/06/2023,650,2340000,0,0,0
Son La,14/06/2023,335,1206000,0,0,0
Son La,13/06/2023,320,1152000,0,0,0
Son La,12/06/2023,150,540000,0,0,0
Son La,11/06/2023,278,1000800,0,0,0
Son La,10/06/2023,308,1108800,0,0,0
Son La,09/06/2023,524,1886400,0,0,0
Son La,08/06/2023,138,496800,0,0,0
Son La,07/06/2023,378,1360800,0,0,0
Son La,07/06/2023,90,324000,0,0,0
Son La,06/06/2023,95,342000,0,0,0
Son La,05/06/2023,90,324000,0,0,0
Son La,04/06/2023,290,1044000,0,0,0
Son La,03/06/2023,290,1044000,0,0,0
Son La,02/06/2023,202,727200,316,1137600,26860
Son La,01/06/2023,242,871200,2464,8870400,209440
Son La,31/05/2023,539,1940400,2483,8938800,211055
Son La,30/05/2023,784,2822400,1320,4752000,112200
Son La,29/05/2023,1582,5695200,0,0,0
Son La,28/05/2023,122,439200,0,0,0
Son La,27/05/2023,188,676800,0,0,0
Son La,26/05/2023,188,676800,0,0,0
Son La,25/05/2023,184,662400,0,0,0
Son La,24/05/2023,278,1000800,0,0,0
Son La,23/05/2023,367,1321200,1150,4140000,97750
Son La,22/05/2023,1145,4122000,2765,9954000,235025
Son La,21/05/2023,167,601200,2720,9792000,231200
Son La,20/05/2023,417,1501200,1753,6310800,149005
Son La,19/05/2023,1755,6318000,3024,10886400,257040
Son La,18/05/2023,1835,6606000,1728,6220800,146880
Son La,17/05/2023,1327,4777200,1883,6778800,160055
Son La,16/05/2023,556,2001600,0,0,0
Son La,15/05/2023,370,1332000,92,331200,7820
Son La,14/05/2023,130,468000,0,0,0
Son La,13/05/2023,278,1000800,0,0,0
Son La,12/05/2023,372,1339200,2159,7772400,183515
Son La,11/05/2023,426,1533600,2926,10533600,248710
Son La,10/05/2023,296,1065600,2828,10180800,240380
Son La,09/05/2023,213,766800,2820,10152000,239700
Son La,08/05/2023,412,1483200,2874,10346400,244290
Son La,07/05/2023,1370,4932000,2314,8330400,196690
Son La,06/05/2023,1090,3924000,2757,9925200,234345
Son La,05/05/2023,302,1087200,2524,9086400,214540
Son La,04/05/2023,1163,4186800,2464,8870400,209440
Son La,03/05/2023,415,1494000,2637,9493200,224145
Son La,02/05/2023,225,810000,2594,9338400,220490
Son La,01/05/2023,235,846000,771,2775600,65535
Son La,30/04/2023,278,1000800,0,0,0
Son La,29/04/2023,350,1260000,0,0,0
Son La,28/04/2023,186,669600,1575,5670000,133875
Son La,27/04/2023,237,853200,139,500400,11815
Son La,26/04/2023,93,334800,677,2437200,57545
Son La,25/04/2023,240,864000,1112,4003200,94520
Son La,24/04/2023,537,1933200,2901,10443600,246585
Son La,23/04/2023,739,2660400,2703,9730800,229755
Son La,22/04/2023,440,1584000,2825,10170000,240125
Son La,21/04/2023,1809,6512400,2733,9838800,232305
Son La,20/04/2023,375,1350000,2637,9493200,224145
Son La,19/04/2023,1153,4150800,2863,10306800,243355
Son La,18/04/2023,935,3366000,2296,8265600,195160
Son La,17/04/2023,360,1296000,2332,8395200,198220
Son La,16/04/2023,85,306000,466,1677600,39610
Son La,15/04/2023,226,813600,1435,5166000,121975
Son La,14/04/2023,422,1519200,1533,5518800,130305
Son La,13/04/2023,342,1231200,1250,4500000,106250
Son La,12/04/2023,1665,5994000,1817,6541200,154445
Son La,11/04/2023,1843,6634800,873,3142800,74205
Son La,10/04/2023,1567,5641200,486,1749600,41310
Son La,09/04/2023,1348,4852800,237,853200,20145
Son La,08/04/2023,271,975600,216,777600,18360
Son La,07/04/2023,260,936000,1525,5490000,129625
Son La,06/04/2023,1950,7020000,281,1011600,23885
Son La,05/04/2023,807,2905200,2314,8330400,196690
Son La,04/04/2023,470,1692000,1581,5691600,134385
Son La,03/04/2023,451,1623600,1274,4586400,108290
Son La,02/04/2023,1111,3999600,0,0,0
Son La,01/04/2023,456,1641600,0,0,0
Son La,31/03/2023,601,2163600,976,3513600,82960
Son La,30/03/2023,454,1634400,836,3009600,71060
Son La,29/03/2023,965,3474000,0,0,0
Son La,28/03/2023,439,1580400,0,0,0
Son La,27/03/2023,750,2700000,120,432000,10200
Son La,26/03/2023,1042,3751200,75,270000,6375
Son La,25/03/2023,576,2073600,1831,6591600,155635
Son La,24/03/2023,1300,4680000,1450,5220000,123250
Son La,23/03/2023,1440,5184000,1996,7185600,169660
Son La,22/03/2023,1282,4615200,1282,4615200,108970
Son La,21/03/2023,1594,5738400,613,2206800,52105
Son La,20/03/2023,1598,5752800,833,2998800,70805
Son La,19/03/2023,1389,5000400,0,0,0
Son La,18/03/2023,1450,5220000,0,0,0
Son La,17/03/2023,1445,5202000,0,0,0
Son La,16/03/2023,1291,4647600,0,0,0
Son La,15/03/2023,1211,4359600,0,0,0
Son La,14/03/2023,288,1036800,0,0,0
Son La,13/03/2023,150,540000,0,0,0
Son La,12/03/2023,112,403200,0,0,0
Son La,11/03/2023,246,885600,0,0,0
Son La,10/03/2023,268,964800,0,0,0
Son La,09/03/2023,356,1281600,0,0,0
Son La,08/03/2023,277,997200,0,0,0
Son La,07/03/2023,132,475200,0,0,0
Son La,06/03/2023,296,1065600,0,0,0
Son La,05/03/2023,215,774000,0,0,0
Son La,04/03/2023,85,306000,0,0,0
Son La,03/03/2023,280,1008000,0,0,0
Son La,02/03/2023,475,1710000,938,3376800,79730
Son La,01/03/2023,311,1119600,173,622800,14705
Son La,28/02/2023,488,1756800,557,2005200,47345
Son La,27/02/2023,385,1386000,385,1386000,32725
Son La,26/02/2023,331,1191600,0,0,0
Son La,25/02/2023,190,684000,0,0,0
Son La,24/02/2023,121,435600,0,0,0
Son La,23/02/2023,455,1638000,670,2412000,56950
Son La,22/02/2023,386,1389600,836,3009600,71060
Son La,21/02/2023,380,1368000,430,1548000,36550
Son La,20/02/2023,286,1029600,1197,4309200,101745
Son La,19/02/2023,556,2001600,0,0,0
Son La,17/02/2023,268,964800,0,0,0
Son La,16/02/2023,229,824400,335,1206000,28475
Son La,15/02/2023,702,2527200,28,100800,2380
Son La,14/02/2023,224,806400,0,0,0
Son La,13/02/2023,206,741600,0,0,0
Son La,12/02/2023,1648,5932800,263,946800,22355
Son La,11/02/2023,1172,4219200,0,0,0
Son La,10/02/2023,1268,4564800,531,1911600,45135
Son La,09/02/2023,1268,4564800,0,0,0
Son La,08/02/2023,1763,6346800,1107,3985200,94095
Son La,07/02/2023,1860,6696000,865,3114000,73525
Son La,06/02/2023,175,630000,0,0,0
Son La,05/02/2023,863,3106800,0,0,0
Son La,04/02/2023,134,482400,65,234000,5525
Son La,03/02/2023,128,460800,584,2102400,49640
Son La,02/02/2023,1111,3999600,0,0,0
Son La,01/02/2023,1700,6120000,0,0,0
Son La,31/01/2023,1467,5281200,0,0,0
Son La,30/01/2023,1389,5000400,0,0,0
Son La,29/01/2023,1667,6001200,0,0,0
Son La,28/01/2023,664,2390400,664,2390400,56440
Son La,27/01/2023,740,2664000,614,2210400,52190
Son La,26/01/2023,265,954000,0,0,0
Son La,25/01/2023,177,637200,232,835200,19720
Son La,24/01/2023,166,597600,320,1152000,27200
Son La,23/01/2023,591,2127600,591,2127600,50235
Son La,22/01/2023,350,1260000,581,2091600,49385
Son La,21/01/2023,898,3232800,880,3168000,74800
Son La,20/01/2023,110,396000,275,990000,23375
Son La,19/01/2023,110,396000,110,396000,9350
Son La,18/01/2023,1016,3657600,585,2106000,49725
Son La,17/01/2023,90,324000,37,133200,3145
Son La,16/01/2023,705,2538000,0,0,0
Son La,15/01/2023,1674,6026400,549,1976400,46665
Son La,14/01/2023,288,1036800,11,39600,935
Son La,13/01/2023,938,3376800,938,3376800,79730
Son La,12/01/2023,857,3085200,943,3394800,80155
Son La,11/01/2023,914,3290400,617,2221200,52445
Son La,10/01/2023,532,1915200,532,1915200,45220
Son La,09/01/2023,966,3477600,693,2494800,58905
Son La,08/01/2023,190,684000,463,1666800,39355
Son La,07/01/2023,133,478800,247,889200,20995
Son La,06/01/2023,641,2307600,641,2307600,54485
Son La,05/01/2023,224,806400,68,244800,5780
Son La,04/01/2023,130,468000,0,0,0
Son La,03/01/2023,155,558000,350,1260000,29750
Son La,02/01/2023,534,1922400,534,1922400,45390
Son La,01/01/2023,1156,4161600,60,216000,5100
Son La,31/12/2022,146,525600,612,2203200,52020
Son La,30/12/2022,165,594000,721,2595600,61285
Son La,29/12/2022,721,2595600,596,2145600,50660
Son La,28/12/2022,415,1494000,1165,4194000,99025
Son La,27/12/2022,549,1976400,983,3538800,83555
Son La,26/12/2022,1655,5958000,0,0,0
Son La,25/12/2022,1389,5000400,0,0,0
Son La,24/12/2022,1389,5000400,0,0,0
Son La,23/12/2022,1225,4410000,0,0,0
Son La,22/12/2022,1485,5346000,1272,4579200,108120
Son La,21/12/2022,1458,5248800,1755,6318000,149175
Son La,20/12/2022,1050,3780000,1883,6778800,160055
Son La,19/12/2022,339,1220400,1426,5133600,121210
Son La,18/12/2022,285,1026000,1674,6026400,142290
Son La,17/12/2022,302,1087200,1113,4006800,94605
Son La,16/12/2022,355,1278000,1435,5166000,121975
Son La,15/12/2022,440,1584000,1551,5583600,131835
Son La,14/12/2022,282,1015200,1741,6267600,147985
Son La,13/12/2022,225,810000,1431,5151600,121635
Son La,12/12/2022,145,522000,188,676800,15980
Son La,11/12/2022,210,756000,2104,7574400,178840
Son La,10/12/2022,722,2599200,1278,4600800,108630
Son La,09/12/2022,334,1202400,1455,5238000,123675
Son La,08/12/2022,352,1267200,1741,6267600,147985
Son La,07/12/2022,273,982800,1873,6742800,159205
Son La,06/12/2022,675,2430000,1807,6505200,153595
Son La,05/12/2022,221,795600,953,3430800,81005
Son La,04/12/2022,153,550800,1217,4381200,103445
Son La,03/12/2022,1345,4842000,61,219600,5185
Son La,02/12/2022,645,2322000,645,2322000,54825
Son La,01/12/2022,1569,5648400,0,0,0
Son La,30/11/2022,1950,7020000,932,3355200,79220
Son La,29/11/2022,1936,6969600,13,46800,1105
Son La,28/11/2022,2001,7203600,1312,4723200,111520
Son La,27/11/2022,1870,6732000,137,493200,11645
Son La,26/11/2022,1426,5133600,455,1638000,38675
Son La,25/11/2022,1440,5184000,230,828000,19550
Son La,24/11/2022,1440,5184000,230,828000,19550
Son La,23/11/2022,784,2822400,985,3546000,83725
Son La,22/11/2022,1954,7034400,1501,5403600,127585
Son La,21/11/2022,1916,6897600,1118,4024800,95030
Son La,20/11/2022,256,921600,1555,5598000,132175
Son La,19/11/2022,1603,5770800,592,2131200,50320
Son La,18/11/2022,1228,4420800,1170,4212000,99450
Son La,17/11/2022,1950,7020000,1394,5018400,118490
Son La,16/11/2022,1440,5184000,1707,6145200,145095
Son La,15/11/2022,972,3499200,1328,4780800,112880
Son La,14/11/2022,1502,5407200,1502,5407200,127670
Son La,13/11/2022,155,558000,1789,6440400,152065
Son La,12/11/2022,1158,4168800,965,3474000,82025
Son La,11/11/2022,1505,5418000,1505,5418000,127925
Son La,10/11/2022,1125,4050000,1601,5763600,136085
Son La,09/11/2022,1350,4860000,1409,5072400,119765
Son La,08/11/2022,1105,3978000,925,3330000,78625
Son La,07/11/2022,501,1803600,1344,4838400,114240
Son La,06/11/2022,441,1587600,441,1587600,37485
Son La,05/11/2022,330,1188000,886,3189600,75310
Son La,04/11/2022,960,3456000,1403,5050800,119255
Son La,03/11/2022,854,3074400,824,2966400,70040
Son La,02/11/2022,950,3420000,641,2307600,54485
Son La,01/11/2022,343,1234800,343,1234800,29155
Son La,"31/10/2022,",1426,5133600,521,1875600,44285
Son La,30/10/2022,1729,6224400,618,2224800,52530
Son La,29/10/2022,1450,5220000,311,1119600,26435
Son La,28/10/2022,1732,6235200,563,2026800,47855
Son La,27/10/2022,1673,6022800,994,3578400,84490
Son La,26/10/2022,1389,5000400,0,0,0
Son La,25/10/2022,1389,5000400,669,2408400,56865
Son La,24/10/2022,1280,4608000,617,2221200,52445
Son La,23/10/2022,1463,5266800,352,1267200,29920
Son La,22/10/2022,783,2818800,783,2818800,66555
Son La,21/10/2022,879,3164400,323,1162800,27455
Son La,20/10/2022,1622,5839200,310,1116000,26350
Son La,19/10/2022,1370,4932000,0,0,0
Son La,18/10/2022,1194,4298400,638,2296800,54230
Son La,17/10/2022,1014,3650400,1014,3650400,86190
Son La,16/10/2022,1591,5727600,1035,3726000,87975
Son La,15/10/2022,236,849600,0,0,0
Son La,14/10/2022,528,1900800,0,0,0
Son La,13/10/2022,1944,6998400,0,0,0
Son La,12/10/2022,1982,7135200,0,0,0
Son La,11/10/2022,1522,5479200,689,2480400,58565
Son La,10/10/2022,1857,6685200,468,1684800,39780
Son La,09/10/2022,1276,4593600,165,594000,14025
Son La,08/10/2022,1452,5227200,752,2707200,63920
Son La,07/10/2022,1389,5000400,733,2638800,62305
Son La,06/10/2022,1515,5454000,636,2289600,54060
Son La,05/10/2022,1662,5983200,622,2239200,52870
Son La,04/10/2022,1550,5580000,994,3578400,84490
Son La,03/10/2022,1071,3855600,349,1256400,29665
Son La,02/10/2022,1389,5000400,0,0,0
Son La,01/10/2022,1528,5500800,669,2408400,56865
Son La,30/09/2022,2123,7642800,623,2242800,52955
Son La,29/09/2022,1944,6998400,416,1497600,35360
Son La,28/09/2022,2083,7498800,0,0,0
Son La,27/09/2022,1833,6598800,669,2408400,56865
Son La,26/09/2022,2251,8103600,584,2102400,49640
Son La,25/09/2022,1927,6937200,303,1090800,25755
Son La,24/09/2022,2152,7747200,369,1328400,31365
Son La,23/09/2022,2265,8154000,598,2152800,50830
Son La,22/09/2022,2168,7804800,704,2534400,59840
Son La,21/09/2022,1975,7110000,586,2109600,49810
Son La,20/09/2022,2024,7286400,610,2196000,51850
Son La,19/09/2022,2452,8827200,1063,3826800,90355
Son La,18/09/2022,2436,8769600,718,2584800,61030
Son La,17/09/2022,2350,8460000,0,0,0
Son La,16/09/2022,3345,12042000,714,2570400,60690
Son La,15/09/2022,2081,7491600,1327,4777200,112795
Son La,14/09/2022,1585,5706000,1029,3704400,87465
Son La,13/09/2022,2582,9295200,1193,4294800,101405
Son La,12/09/2022,2520,9072000,853,3070800,72505
Son La,11/09/2022,2082,7495200,0,0,0
Son La,10/09/2022,1449,5216400,586,2109600,49810
Son La,09/09/2022,2165,7794000,81,291600,6885
Son La,08/09/2022,2106,7581600,439,1580400,37315
Son La,07/09/2022,2121,7635600,688,2476800,58480
Son La,06/09/2022,2288,8236800,2000,7200000,170000
Son La,05/09/2022,2388,8596800,1229,4424400,104465
Son La,04/09/2022,1895,6822000,228,820800,19380
Son La,03/09/2022,1275,4590000,997,3589200,84745
Son La,02/09/2022,512,1843200,1068,3844800,90780
Son La,01/09/2022,594,2138400,1150,4140000,97750
Son La,31/08/2022,1829,6584400,1716,6177600,145860
Son La,30/08/2022,2496,8985600,2218,7984800,188530
Son La,29/08/2022,2350,8460000,2092,7531200,177820
Son La,28/08/2022,1389,5000400,0,0,0
Son La,27/08/2022,2558,9208800,726,2613600,61710
Son La,26/08/2022,2366,8517600,669,2408400,56865
Son La,25/08/2022,2323,8362800,934,3362400,79390
Son La,24/08/2022,2647,9529200,2647,9529200,224995
Son La,23/08/2022,1788,6436800,2045,7362000,173825
Son La,22/08/2022,2009,7232400,1453,5230800,123505
Son La,21/08/2022,1914,6890400,943,3394800,80155
Son La,20/08/2022,2009,7232400,943,3394800,80155
Son La,19/08/2022,2139,7700400,1306,4701600,111010
Son La,18/08/2022,2530,9108000,1306,4701600,111010
Son La,17/08/2022,2463,8866800,1985,7146000,168725
Son La,16/08/2022,2374,8546400,2374,8546400,201790
Son La,15/08/2022,2479,8924400,2123,7642800,180455
Son La,14/08/2022,2470,8892000,1436,5169600,122060
Son La,13/08/2022,2450,8820000,1416,5097600,120360
Son La,12/08/2022,2447,8809200,1058,3808800,89930
Son La,11/08/2022,2637,9493200,970,3492000,82450
Son La,10/08/2022,2547,9169200,2547,9169200,216495
Son La,09/08/2022,2791,10047600,1476,5313600,125460
Son La,08/08/2022,2155,7758000,867,3121200,73695
Son La,07/08/2022,1668,6004800,1181,4251600,100385
Son La,06/08/2022,850,3060000,2132,7675200,181220
Son La,05/08/2022,870,3132000,2076,7473600,176460
Son La,04/08/2022,931,3351600,2551,9183600,216835
Son La,03/08/2022,1137,4093200,2804,10094400,238340
Son La,02/08/2022,1721,6195600,2766,9957600,235110
Son La,01/08/2022,1371,4935600,2766,9957600,235110
Son La,31/07/2022,2435,8766000,1907,6865200,162095
Son La,30/07/2022,2280,8208000,2280,8208000,193800
Son La,29/07/2022,2425,8730000,2425,8730000,206125
Son La,28/07/2022,1944,6998400,669,2408400,56865
Son La,27/07/2022,1860,6696000,1760,6336000,149600
Son La,26/07/2022,2218,7984800,2388,8596800,202980
Son La,25/07/2022,1925,6930000,1369,4928400,116365
Son La,24/07/2022,2301,8283600,2301,8283600,195585
Son La,23/07/2022,1826,6573600,2783,10018800,236555
Son La,22/07/2022,1747,6289200,2580,9288000,219300
Son La,21/07/2022,336,1209600,1725,6210000,146625
Son La,20/07/2022,2095,7542000,1585,5706000,134725
Son La,19/07/2022,2404,8654400,1585,5706000,134725
Son La,18/07/2022,2529,9104400,1293,4654800,109905
Son La,17/07/2022,1925,6930000,3314,11930400,281690
Son La,16/07/2022,2175,7830000,3268,11764800,277780
Son La,15/07/2022,2121,7635600,3232,11635200,274720
Son La,14/07/2022,2644,9518400,3200,11520000,272000
Son La,13/07/2022,2620,9432000,3177,11437200,270045
Son La,12/07/2022,2550,9180000,3169,11408400,269365
Son La,11/07/2022,2607,9385200,3163,11386800,268855
Son La,10/07/2022,2591,9327600,3147,11329200,267495
Son La,09/07/2022,2606,9381600,3162,11383200,268770
Son La,08/07/2022,2862,10303200,3139,11300400,266815
Son La,07/07/2022,3147,11329200,3147,11329200,267495
Son La,06/07/2022,3402,12247200,3140,11304000,266900
Son La,05/07/2022,3138,11296800,3138,11296800,266730
Son La,04/07/2022,2241,8067600,2241,8067600,190485
Son La,03/07/2022,3155,11358000,3155,11358000,268175
Son La,02/07/2022,3358,12088800,3167,11401200,269195
Son La,01/07/2022,3160,11376000,3160,11376000,268600
Son La,01/07/2022,3723,13402800,3167,11401200,269195
Son La,30/06/2022,4056,14601600,3167,11401200,269195
Son La,29/06/2022,3181,11451600,3181,11451600,270385
